f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,label
34,32,2,0,0,0,0,0,0,0,0,0,-11,-22,-10,-23,-10,-24,-10,-25,-8,-24,-6,-23,-6,-23,-5,-23,-5,-23,-4,-23,-6,-24,-5,-24,-6,-23,-5,-22,-4,-21,-6,-23,-4,-21,-4,-20,-4,-20,-4,-20,-4,-19,-5,-20,-4,-18,-7,-19,-8,-20,-8,-19,0,0,-8,-19,-9,-19,-10,-18,-10,-18,-9,-17,-10,-18,-11,-19,-9,-18,-11,-18,-11,-18,-13,-18,-11,-17,-12,-16,-13,-18,-12,-17,-14,-18,-15,-18,-13,-17,-13,-17,-13,-17,-14,-17,-14,-17,-14,-17,-16,-17,-17,-16,-14,-18,0,0,0,0,0,0,0,0,0,0,0
-125,48,8,0,0,0,0,0,0,0,0,0,-25,6,-25,5,-26,4,-27,4,-25,3,-24,1,-25,0,-23,-1,-24,-1,-23,-1,-24,0,-25,0,-24,0,-23,-1,-22,-1,-24,-1,-21,-1,-20,-2,-20,-2,-20,-1,-20,-1,-21,-1,-18,-1,-20,0,-21,2,-21,2,0,0,-21,2,-20,2,-21,3,-20,3,-19,3,-20,3,-21,4,-20,3,-21,5,-21,4,-22,5,-20,4,-21,6,-22,6,-21,4,-21,5,-22,6,-21,6,-21,5,-21,6,-21,6,-21,6,-21,7,-21,8,-21,7,-21,7,0,0,0,0,0,0,0,0,0,0,0
30,-32,1,0,0,0,0,0,0,0,0,0,20,-11,20,-10,23,-11,23,-10,24,-8,20,-6,22,-5,21,-3,21,-4,21,-4,22,-5,22,-4,20,-4,21,-4,19,-2,21,-8,17,-4,23,-7,-6,-6,19,-5,19,-3,21,-13,36,-16,19,-7,19,-10,18,-13,0,0,16,-9,17,-11,14,-15,17,-26,15,-10,18,-11,18,-9,21,0,17,-11,17,-12,18,-13,11,-17,15,-12,15,-13,14,-14,13,-15,17,-15,15,-13,16,-10,19,-3,15,-11,15,-15,18,-10,5,-26,17,-12,16,-7,0,0,0,0,0,0,0,0,0,0,0
-125,48,8,0,0,0,0,0,0,0,0,0,10,19,9,20,9,21,9,22,7,21,6,20,6,20,5,20,4,20,4,20,5,21,5,22,4,20,4,20,3,19,4,21,3,19,2,18,3,18,4,18,3,17,3,19,3,16,4,17,6,19,5,18,0,0,6,17,6,18,7,18,6,17,6,16,8,16,8,17,7,16,8,17,7,16,9,17,8,16,9,16,9,18,7,17,9,17,10,17,9,17,9,17,9,16,9,16,10,17,10,16,11,17,10,16,10,16,0,0,0,0,0,0,0,0,0,0,0
-121,112,8,0,0,0,0,0,0,0,0,0,-16,-7,-15,-7,-16,-8,-16,-9,-16,-10,-14,-9,-14,-10,-14,-10,-14,-10,-13,-10,-13,-11,-13,-11,-12,-11,-12,-11,-11,-11,-13,-11,-12,-10,-12,-10,-11,-10,-11,-10,-12,-10,-11,-10,-11,-10,-12,-10,-12,-10,-12,-9,0,0,-12,-9,-12,-9,-12,-8,-12,-8,-12,-8,-13,-9,-13,-8,-13,-8,-14,-7,-13,-7,-13,-7,-13,-7,-14,-7,-13,-6,-14,-7,-14,-6,-14,-6,-13,-6,-14,-6,-15,-6,-14,-6,-14,-5,-15,-6,-15,-5,-15,-6,-14,-5,0,0,0,0,0,0,0,0,0,0,0
-17,-16,14,0,0,0,0,0,0,0,0,0,-25,-3,-25,-4,-26,-4,-26,-4,-25,-5,-24,-6,-23,-5,-23,-6,-24,-7,-23,-8,-24,-9,-25,-8,-22,-8,-23,-9,-20,-7,-25,-8,-20,-7,-20,-7,-20,-7,-20,-6,-19,-6,-20,-7,-18,-7,-20,-6,-20,-4,-21,-5,0,0,-20,-1,-23,-3,-23,0,-21,-4,-21,-6,-19,-1,-21,-1,-20,-5,-23,-1,-20,-3,-19,0,-20,0,-21,-1,-21,1,-22,-1,-21,1,-25,2,-22,1,-22,2,-22,2,-22,2,-22,3,-23,3,-24,3,-22,2,-22,2,0,0,0,0,0,0,0,0,0,0,0
37,80,2,0,0,0,0,0,0,0,0,0,-10,-22,-8,-21,-9,-23,-9,-23,-7,-23,-5,-22,-5,-22,-3,-22,-4,-22,-3,-22,-4,-22,-3,-23,-4,-22,-3,-21,-2,-20,-5,-22,-3,-19,-3,-19,-3,-19,-3,-19,-3,-18,-4,-20,-2,-18,-4,-19,-5,-20,-5,-19,0,0,-6,-18,-7,-19,-7,-18,-8,-18,-7,-17,-7,-18,-8,-18,-7,-18,-9,-18,-8,-18,-10,-18,-8,-17,-9,-17,-9,-18,-10,-18,-10,-17,-11,-18,-10,-18,-10,-17,-10,-17,-10,-17,-11,-17,-11,-18,-12,-17,-11,-17,-11,-16,0,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-9,-18,-8,-18,-8,-19,-7,-19,-7,-19,-7,-18,-6,-18,-5,-20,-5,-19,-5,-18,-4,-19,-4,-19,-4,-18,-4,-18,-2,-18,-3,-18,-4,-17,-3,-17,-4,-16,-4,-16,-4,-16,-4,-17,-4,-17,-4,-16,-5,-17,-4,-16,0,0,-5,-16,-5,-16,-5,-15,-6,-17,-5,-14,-6,-15,-6,-15,-7,-15,-6,-16,-6,-15,-7,-14,-7,-15,-8,-16,-8,-15,-9,-16,-8,-15,-9,-15,-9,-15,-9,-14,-10,-15,-10,-14,-10,-14,-10,-14,-11,-14,-10,-14,-11,-14,0,0,0,0,0,0,0,0,0,0,0
37,80,2,0,0,0,0,0,0,0,0,0,-26,-6,-24,-7,-26,-7,-26,-7,-25,-8,-22,-10,-23,-10,-21,-11,-23,-11,-21,-12,-23,-11,-23,-13,-22,-12,-21,-11,-19,-11,-23,-10,-19,-10,-19,-10,-18,-10,-19,-9,-18,-10,-20,-9,-17,-10,-19,-8,-21,-8,-20,-8,0,0,-20,-7,-21,-6,-20,-5,-21,-5,-19,-5,-21,-5,-21,-4,-20,-5,-22,-3,-22,-6,-22,-3,-20,-4,-21,-3,-22,-3,-22,-3,-21,-2,-23,-1,-21,-2,-21,-1,-22,-2,-21,-2,-22,-1,-23,-1,-23,0,-22,-1,-22,-1,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-16,10,-17,9,-17,9,-18,8,-17,7,-17,7,-18,7,-18,6,-17,6,-17,5,-17,6,-17,5,-17,4,-17,5,-18,4,-17,5,-16,4,-17,3,-16,4,-16,4,-16,3,-15,4,-16,4,-15,4,-16,4,-15,5,0,0,-15,5,-15,6,-15,6,-14,6,-14,6,-15,7,-14,7,-14,6,-14,7,-14,9,-14,8,-14,7,-14,9,-14,8,-13,9,-13,9,-14,9,-13,9,-13,9,-13,9,-13,10,-13,10,-13,10,-13,10,-13,11,-13,11,0,0,0,0,0,0,0,0,0,0,0
